City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
Sheridan,44.8333,-106.9173,37.0,80,90,19.46,US,1609880470
Ikwiriri,-7.9562,38.9716,73.71,96,82,3.33,TZ,1609880633
Honningsvåg,70.9821,25.9704,35.6,85,75,20.8,NO,1609880633
Mawlaik,23.6333,94.4167,61.23,87,96,1.1,MM,1609880633
Sørland,67.667,12.6934,43.74,91,100,25.21,NO,1609880633
Bethel,41.3712,-73.414,36.0,83,98,1.01,US,1609880471
Puerto Ayora,-0.7393,-90.3518,80.6,61,0,10.29,EC,1609880432
São Félix do Xingu,-6.6447,-51.995,82.31,74,98,2.66,BR,1609880510
Coahuayana Viejo,18.7333,-103.6833,82.4,42,40,6.53,MX,1609880634
Hobart,-42.8794,147.3294,60.01,72,75,13.87,AU,1609880473
Papara,-3.9839,-38.7273,82.4,74,0,8.05,BR,1609880634
Mataura,-46.1927,168.8643,60.01,71,51,3.42,NZ,1609880634
Dingle,10.9995,122.6711,74.64,90,92,7.67,PH,1609880634
Kaitangata,-46.2817,169.8464,59.0,82,5,4.0,NZ,1609880634
Padang,-0.9492,100.3543,75.2,94,40,2.24,ID,1609880484
Imeni Poliny Osipenko,52.4201,136.4853,-25.04,84,34,2.17,RU,1609880634
Bluff,-46.6,168.3333,55.89,79,60,5.53,NZ,1609880634
Amapá,1.0,-52.0,77.72,88,91,3.71,BR,1609880448
Jamestown,42.097,-79.2353,33.01,98,90,8.43,US,1609880359
Airai,-8.9266,125.4092,61.36,100,100,1.63,TL,1609880364
Talnakh,69.4865,88.3972,-13.0,75,90,24.61,RU,1609880356
Ati,13.2154,18.3353,79.61,16,47,9.57,TD,1609880635
San Patricio,28.017,-97.5169,73.4,78,40,13.87,US,1609880599
Port Alfred,-33.5906,26.891,71.01,89,96,1.01,ZA,1609880436
Zhigansk,66.7697,123.3711,-38.7,80,100,11.5,RU,1609880501
Kapaa,22.0752,-159.319,77.0,73,90,11.41,US,1609880360
Guerrero Negro,27.9769,-114.0611,69.58,46,80,9.22,MX,1609880460
State College,40.7934,-77.86,35.01,86,90,3.36,US,1609880401
Russell,32.3502,-85.1999,64.4,50,1,13.87,US,1609880637
Castro,-24.7911,-50.0119,70.21,90,99,4.07,BR,1609880320
Qaanaaq,77.484,-69.3632,3.81,82,100,8.16,GL,1609880354
Thompson,55.7435,-97.8558,5.0,84,75,2.24,CA,1609880359
Cabo San Lucas,22.8909,-109.9124,75.0,37,40,5.82,MX,1609880371
Avarua,-21.2078,-159.775,84.2,74,39,13.87,CK,1609880362
George Town,5.4112,100.3354,77.0,94,40,4.7,MY,1609880317
Ushuaia,-54.8,-68.3,59.0,44,75,12.75,AR,1609880353
Vigrestad,58.5667,5.7,26.01,92,0,5.1,NO,1609880638
Halifax,44.6453,-63.5724,35.6,80,100,10.29,CA,1609880259
Hithadhoo,-0.6,73.0833,82.33,77,82,16.49,MV,1609880393
Maniitsoq,65.4167,-52.9,18.68,95,100,10.87,GL,1609880429
Hermanus,-34.4187,19.2345,60.01,90,1,2.77,ZA,1609880354
Vardø,70.3705,31.1107,23.0,92,75,42.5,NO,1609880380
Doha,25.2867,51.5333,66.2,77,0,3.36,QA,1609880331
La Rioja,42.25,-2.5,35.6,96,90,4.7,ES,1609880473
Ratnapura,6.6828,80.3992,74.3,84,21,2.19,LK,1609880640
São João da Barra,-21.6403,-41.0511,86.0,62,0,11.41,BR,1609880442
Ballina,-28.8667,153.5667,75.0,94,36,2.98,AU,1609880431
Punta Arenas,-53.15,-70.9167,57.2,50,40,24.16,CL,1609880431
Rikitea,-23.1203,-134.9692,76.89,76,0,13.2,PF,1609880271
Atuona,-9.8,-139.0333,77.49,73,25,15.41,PF,1609880369
Shache,38.4167,77.2406,15.31,93,91,2.86,CN,1609880641
Bredasdorp,-34.5322,20.0403,60.8,82,1,2.24,ZA,1609880357
Ibotirama,-12.1853,-43.2206,85.96,40,87,6.69,BR,1609880641
Ambilobe,-13.2,49.05,74.89,89,66,2.26,MG,1609880498
Nha Trang,12.25,109.1833,77.0,78,40,13.87,VN,1609880642
Garden City,42.3256,-83.331,36.0,80,90,4.7,US,1609880642
Riyadh,24.6877,46.7219,57.2,62,0,2.24,SA,1609880466
Fortuna,40.5982,-124.1573,57.99,62,100,10.0,US,1609880386
Sackville,45.9188,-64.3846,32.0,90,100,17.22,CA,1609880405
Saldanha,-33.0117,17.9442,65.08,89,0,16.64,ZA,1609880365
Solnechnyy,50.7214,136.6319,-17.34,84,51,1.36,RU,1609880505
Mar del Plata,-38.0023,-57.5575,70.0,94,90,17.22,AR,1609880298
Naze,28.3667,129.4833,59.0,67,90,21.92,JP,1609880504
Yellowknife,62.456,-114.3525,-9.99,76,90,16.11,CA,1609880353
Hilo,19.7297,-155.09,80.6,57,1,5.82,US,1609880410
Cape Town,-33.9258,18.4232,69.01,88,20,14.99,ZA,1609880386
Sitka,57.0531,-135.33,44.6,65,90,23.04,US,1609880437
Cidreira,-30.1811,-50.2056,72.01,90,100,5.61,BR,1609880366
Ulaangom,49.9811,92.0667,-27.49,79,0,0.58,MN,1609880643
Touros,-5.1989,-35.4608,80.6,74,20,10.29,BR,1609880387
Boende,-0.2167,20.8667,73.6,86,49,2.62,CD,1609880487
Palmer,42.1584,-72.3287,39.2,60,75,9.17,US,1609880548
Albany,42.6001,-73.9662,35.01,80,97,3.6,US,1609880353
Norman Wells,65.282,-126.8329,-18.4,75,75,3.36,CA,1609880442
Chokurdakh,70.6333,147.9167,-12.96,90,100,10.8,RU,1609880377
The Valley,18.217,-63.0578,82.4,61,20,10.29,AI,1609880420
Ribeira Grande,38.5167,-28.7,59.0,87,75,31.09,PT,1609880446
Nazca,-14.8333,-74.95,78.71,50,84,7.27,PE,1609880644
Jishou,28.3167,109.7167,35.02,81,35,1.77,CN,1609880645
Saint-Joseph,-21.3667,55.6167,75.2,73,0,4.7,RE,1609880482
Ponta do Sol,32.6667,-17.1,62.6,82,40,2.24,PT,1609880360
Maltahöhe,-24.8333,16.9833,75.4,45,99,9.66,NA,1609880645
Chui,-33.6971,-53.4616,74.8,78,73,17.31,UY,1609880372
Nkongsamba,4.9547,9.9404,69.44,92,8,0.67,CM,1609880645
Vágur,61.4732,-6.8119,44.65,84,100,21.88,FO,1609880645
Carupano,10.6678,-63.2585,78.26,72,24,10.33,VE,1609880645
Quatre Cocos,-20.2078,57.7625,77.0,83,40,10.29,MU,1609880473
Gunnedah,-30.9833,150.25,68.0,88,75,6.93,AU,1609880646
Korla,41.7597,86.1469,12.94,84,34,8.55,CN,1609880362
Ixtapa,20.7,-105.2,75.2,60,5,8.05,MX,1609880427
Djambala,-2.5447,14.7533,70.92,87,33,1.54,CG,1609880646
Mapiri,-15.25,-68.1667,71.78,89,100,3.42,BO,1609880646
Faya,18.3851,42.4509,57.2,93,0,3.36,SA,1609880430
Ciudad del Carmen,18.6333,-91.8333,78.8,69,75,8.05,MX,1609880348
Saint-Philippe,-21.3585,55.7679,75.2,73,0,4.7,RE,1609880356
Yining,29.0361,114.5636,40.46,82,98,2.89,CN,1609880647
Laguna,38.421,-121.4238,54.0,93,75,10.29,US,1609880515
Flin Flon,54.7682,-101.865,17.6,85,90,5.82,CA,1609880262
Sayyan,15.1718,44.3244,43.47,63,4,3.83,YE,1609880647
Saskylakh,71.9167,114.0833,-3.55,89,97,13.42,RU,1609880356
Nanortalik,60.1432,-45.2371,25.95,90,0,6.06,GL,1609880397
Sinegor'ye,62.0788,150.477,-15.07,85,100,1.68,RU,1609880647
Jérémie,18.65,-74.1167,78.76,61,18,3.89,HT,1609880647
Raja,8.4596,25.678,73.58,27,0,4.81,SS,1609880353
Cienfuegos,22.1461,-80.4356,78.8,65,75,10.29,CU,1609880648
Grand Gaube,-20.0064,57.6608,73.99,87,20,17.52,MU,1609880546
Khāsh,28.2211,61.2158,31.03,69,0,3.09,IR,1609880283
St. George's,12.0564,-61.7485,84.2,70,20,16.11,GD,1609880383
Saint Paul Harbor,57.79,-152.4072,39.2,80,90,23.04,US,1609880396
Vestnes,62.6264,7.0884,28.4,68,0,9.17,NO,1609880649
Anking,30.5092,117.0506,36.03,82,80,8.3,CN,1609880649
Bara,10.3744,10.7288,79.65,16,2,9.35,NG,1609880649
Busselton,-33.65,115.3333,59.0,77,18,1.99,AU,1609880352
Bariloche,-41.1456,-71.3082,77.0,16,40,4.7,AR,1609880649
Yangi Marg`ilon,40.4272,71.7189,23.0,79,90,4.7,UZ,1609880377
Nurota,40.5614,65.6886,19.4,92,90,4.7,UZ,1609880649
Arraial do Cabo,-22.9661,-42.0278,86.0,78,20,9.17,BR,1609880448
Bambous Virieux,-20.3428,57.7575,77.0,83,40,10.29,MU,1609880429
Port Elizabeth,-33.918,25.5701,71.6,78,67,5.82,ZA,1609880438
Waren,53.5167,12.6833,37.99,97,100,13.24,DE,1609880650
Erenhot,43.6475,111.9767,-21.19,83,63,12.62,CN,1609880650
Itarema,-2.9248,-39.9167,81.05,74,0,15.79,BR,1609880650
Pitimbu,-7.4706,-34.8086,82.4,69,20,17.22,BR,1609880650
Fuxin,42.0156,121.6589,1.24,78,1,6.53,CN,1609880650
Pevek,69.7008,170.3133,-13.83,90,100,8.46,RU,1609880356
Mongo,12.1844,18.693,75.0,18,0,5.55,TD,1609880651
Imbituba,-28.24,-48.6703,82.4,69,75,10.29,BR,1609880397
Torbat-e Jām,35.244,60.6225,29.75,90,86,9.8,IR,1609880651
Muzhi,65.3667,64.6667,-13.97,88,29,8.48,RU,1609880651
Umm Kaddadah,13.6017,26.6876,71.96,20,0,15.48,SD,1609880472
Tuktoyaktuk,69.4541,-133.0374,-16.6,75,75,3.36,CA,1609880357
Fallon,39.4735,-118.7774,46.0,53,75,5.82,US,1609880399
Upernavik,72.7868,-56.1549,8.15,93,100,17.45,GL,1609880354
Ancud,-41.8697,-73.8203,68.0,56,0,6.93,CL,1609880383
Tabou,4.423,-7.3528,78.73,86,95,8.63,CI,1609880377
Dikson,73.5069,80.5464,15.85,96,100,25.88,RU,1609880364
Morondava,-20.2833,44.2833,81.9,69,5,3.06,MG,1609880652
Phan Thiet,10.9333,108.1,72.46,84,62,5.21,VN,1609880652
Cherskiy,68.75,161.3,-20.61,87,100,10.02,RU,1609880359
Torrevieja,37.9787,-0.6822,48.0,48,100,1.01,ES,1609880652
Port Lincoln,-34.7333,135.8667,59.76,71,100,17.34,AU,1609880454
Nikolskoye,59.7035,30.7861,28.4,86,90,6.71,RU,1609880351
Meulaboh,4.1363,96.1285,77.63,85,82,4.29,ID,1609880412
Verín,41.9415,-7.4381,30.0,93,0,2.64,ES,1609880653
Buchach,49.0625,25.388,37.0,99,100,1.01,UA,1609880653
Sakaiminato,35.55,133.2333,39.2,60,40,10.29,JP,1609880293
Port Hedland,-20.3167,118.5667,77.0,53,75,16.11,AU,1609880653
Yar-Sale,66.8333,70.8333,-13.88,88,25,14.07,RU,1609880478
Bucerías,20.75,-105.3333,75.2,60,5,8.05,MX,1609880653
Lavrentiya,65.5833,-171.0,-11.43,83,3,13.51,RU,1609880391
Roald,62.5833,6.1333,33.8,64,0,9.17,NO,1609880376
Masterton,-40.9597,175.6575,69.01,84,96,1.99,NZ,1609880373
Khatanga,71.9667,102.5,-0.4,93,100,21.88,RU,1609880359
Hamilton,39.1834,-84.5333,35.01,80,90,10.29,US,1609880384
Shimoda,34.6667,138.95,39.0,84,100,5.75,JP,1609880354
Yulara,-25.2406,130.9889,68.0,40,0,6.93,AU,1609880442
Mount Gambier,-37.8333,140.7667,55.4,76,90,14.99,AU,1609880459
Apac,1.9756,32.5386,74.5,44,61,3.31,UG,1609880654
Dhola,21.8833,71.7833,59.31,49,0,9.89,IN,1609880654
Eureka,40.8021,-124.1637,59.0,53,100,5.01,US,1609880655
Kīhei,20.785,-156.4656,80.6,57,20,12.75,US,1609880655
Poum,-20.2333,164.0167,82.09,80,66,6.06,NC,1609880354
Mnogovershinnyy,53.9353,139.9242,-19.16,89,100,4.9,RU,1609880506
Carnarvon,-24.8667,113.6333,75.2,69,77,8.05,AU,1609880281
Barrow,71.2906,-156.7887,-16.6,68,40,6.93,US,1609880272
Petropavlovsk-Kamchatskiy,53.0452,158.6483,19.4,85,90,6.71,RU,1609880394
Tasiilaq,65.6145,-37.6368,19.4,52,40,9.17,GL,1609880272
Marawi,7.9986,124.2928,73.99,92,65,5.99,PH,1609880378
Port Macquarie,-31.4333,152.9167,75.99,77,0,1.01,AU,1609880506
Bonavista,48.6499,-53.1147,35.01,93,100,9.17,CA,1609880387
Marfino,55.7028,37.3822,27.0,92,75,11.18,RU,1609880656
Nemuro,43.3236,145.575,20.75,84,51,9.48,JP,1609880535
Faanui,-16.4833,-151.75,81.28,75,7,13.22,PF,1609880369
Huarmey,-10.0681,-78.1522,73.31,76,95,9.6,PE,1609880396
Jalu,29.0331,21.5482,56.32,57,73,7.2,LY,1609880379
Grindavik,63.8424,-22.4338,35.6,76,90,12.75,IS,1609880453
Bengkulu,-3.8004,102.2655,75.81,89,90,5.35,ID,1609880364
Rock Sound,24.9,-76.2,72.32,70,54,10.74,BS,1609880657
Provideniya,64.3833,-173.3,-2.0,84,0,9.62,RU,1609880374
Nchelenge,-9.3451,28.734,72.93,78,100,4.74,ZM,1609880362
Talcahuano,-36.7167,-73.1167,69.8,56,0,14.99,CL,1609880194
Dawei,14.0833,98.2,73.49,65,9,3.51,MM,1609880658
Linden,6.0,-58.3,82.4,78,75,9.17,GY,1609880658
Comodoro Rivadavia,-45.8667,-67.5,73.4,46,0,27.51,AR,1609880401
Tarakan,3.3,117.6333,75.2,94,75,6.93,ID,1609880658
Beringovskiy,63.05,179.3167,-6.52,85,100,11.97,RU,1609880397
Severo-Kuril'sk,50.6789,156.125,15.42,85,78,6.42,RU,1609880423
Rocha,-34.4833,-54.3333,76.93,66,96,16.55,UY,1609880487
Bandundu Province,-3.3167,17.3667,75.92,78,7,2.13,CD,1609880659
Khani,41.9563,42.9566,53.6,18,0,27.51,GE,1609880509
Ruteng,-8.6136,120.4721,62.49,100,100,0.47,ID,1609880465
Belyy Yar,53.6039,91.3903,-25.6,67,24,2.44,RU,1609880659
Vanderhoof,54.0166,-124.0198,31.66,92,100,12.35,CA,1609880403
Vaini,-21.2,-175.2,80.6,88,40,6.93,TO,1609880352
East London,-33.0153,27.9116,71.87,83,96,12.62,ZA,1609880423
Hobyo,5.3505,48.5268,75.02,68,1,21.12,SO,1609880435
Alyangula,-13.8483,136.4192,78.8,100,75,6.91,AU,1609880482
Hurghada,27.2574,33.8129,64.4,55,0,8.05,EG,1609880660
Maningrida,-12.0667,134.2667,79.03,80,100,4.0,AU,1609880490
Valdivia,-39.8142,-73.2459,82.4,42,0,6.93,CL,1609880516
Isangel,-19.55,169.2667,81.73,80,78,14.63,VU,1609880386
Longyearbyen,78.2186,15.6401,19.4,85,75,14.99,SJ,1609880371
Chapais,49.7834,-74.8492,17.6,92,90,2.24,CA,1609880493
Skibbereen,51.55,-9.2667,33.8,86,75,12.75,IE,1609880661
Winslow,35.0242,-110.6974,55.4,20,1,12.75,US,1609880661
Lebu,-37.6167,-73.65,59.95,73,0,21.07,CL,1609880367
Clyde River,70.4692,-68.5914,-27.4,74,20,1.23,CA,1609880369
Tekirdağ,40.978,27.5085,46.4,81,0,5.82,TR,1609880524
Kosh-Agach,50.0,88.6667,-30.95,78,24,0.76,RU,1609880445
Salalah,17.0151,54.0924,73.4,27,0,6.93,OM,1609880363
Linqiong,30.4159,103.4609,42.8,81,20,4.47,CN,1609880662
Khovd,48.0056,91.6419,-9.15,69,0,2.86,MN,1609880489
Butaritari,3.0707,172.7902,81.45,74,29,21.27,KI,1609880357
Kovdor,67.5662,30.4758,7.54,95,0,4.63,RU,1609880662
Labuhan,-6.8844,112.2051,76.64,88,100,6.71,ID,1609880435
Marzuq,14.4,46.4667,56.48,38,0,2.42,YE,1609880371
Al Bardīyah,31.7561,25.0865,58.21,63,59,7.56,LY,1609880662
Baghdad,33.3406,44.4009,46.4,61,0,4.7,IQ,1609880349
Lüderitz,-26.6481,15.1594,68.0,82,69,12.75,NA,1609880361
Lithgow,-33.4833,150.15,57.0,41,86,5.99,AU,1609880663
Kanniyākumāri,8.0833,77.5667,78.62,81,100,14.72,IN,1609880663
Antalaha,-14.9003,50.2788,74.17,89,3,5.46,MG,1609880663
Esim,4.8699,-2.2405,79.7,85,100,7.49,GH,1609880553
Ureki,41.9956,41.7786,55.4,26,0,18.34,GE,1609880663
Krasnyy Chikoy,50.3643,108.7512,-25.26,81,100,4.94,RU,1609880663
Klaksvík,62.2266,-6.589,44.6,93,100,12.75,FO,1609880389
Parabel',58.6978,81.4825,-22.43,83,0,2.68,RU,1609880418
Turukhansk,65.8167,87.9833,-15.63,89,100,7.4,RU,1609880664
Saint George,37.1041,-113.5841,57.0,32,1,3.0,US,1609880374
Nicoya,10.1483,-85.452,86.0,51,75,20.8,CR,1609880508
Hervey Bay,-25.2986,152.8535,78.01,89,47,3.0,AU,1609880664
Guasdualito,7.2424,-70.7324,85.66,51,72,5.39,VE,1609880664
Sibolga,1.7427,98.7792,76.24,80,83,3.69,ID,1609880433
Khasan,42.4308,130.6434,7.77,81,20,14.16,RU,1609880665
